tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
106136,1.0,COGS,35,10,0.2857142857142857,1.0,1.0,6.3,3.225,,2.4,5.0,5.0,4.9,,,0.3167738095238095,,0.14285714285714285,5.0
110483,1.0,ECON,3095,1086,0.3508885298869144,0.8952348066298342,0.8993747697974216,5.971639042357276,3.3604051565377535,2.934404873477038,3.727272727272727,4.045454545454546,4.157894736842105,4.068181818181818,0.8333333333333334,3.85,0.22520505210277933,"Hilarious,Test heavy,Caring,Get ready to read,Clear grading criteria,Lecture heavy,Gives good feedback,Respected,Tough grader,Amazing lectures,Inspirational,",0.007108239095315024,22.0
111768,-1.0,PSYC,2737,1197,0.4373401534526854,0.8987059314954051,0.9195321637426901,4.560835421888054,3.358108108108108,2.963889908256881,2.6296296296296298,4.185185185185185,4.363636363636363,4.2407407407407405,0.6,3.6625,0.20159560377649002,"Lecture heavy,Test heavy,""Skip class? You won t pass."",Inspirational,Caring,Graded by few things,Respected,Amazing lectures,Tough grader,Hilarious,Clear grading criteria,",0.009864815491413957,27.0
111772,1.0,PSYC,2849,1387,0.48683748683748684,0.8790735400144196,0.9021189617880316,3.9880749819754864,3.305378514780101,2.8547728911319394,2.8617021276595747,3.882978723404255,3.6911764705882355,3.9414893617021276,,3.85,0.21527607179740882,,0.032994032994032994,94.0
118866,1.0,MAE,857,370,0.43173862310385064,0.7981972972972973,0.756954054054054,5.479378378378379,3.4519729729729725,3.2341621621621623,1.8571428571428572,3.1904761904761907,3.7777777777777777,3.0476190476190474,0.25,3.34,0.14494787729906775,"""Skip class? You won t pass."",Tough grader,Graded by few things,Test heavy,Get ready to read,Hilarious,Inspirational,Amazing lectures,",0.024504084014002333,21.0
122308,1.0,CSE,10362,4436,0.42810268287975295,0.882720468890893,0.7877759242560863,7.555879170423806,3.4304463480613165,3.1448149840109636,3.0128205128205128,2.91025641025641,3.641509433962264,3.0,,,0.019705095169380876,"Respected,",0.007527504342790967,78.0
125636,1.0,MATH,4151,1650,0.39749457961936885,0.8601800000000001,0.7586654545454543,6.74039393939394,3.3585878787878785,2.9250790754257907,3.0,2.684931506849315,2.925,2.7739726027397262,0.38095238095238093,3.192857142857143,0.10777951002302763,"Clear grading criteria,Lots of homework,Amazing lectures,Gives good feedback,Tough grader,Graded by few things,Get ready to read,Test heavy,Lecture heavy,Inspirational,Hilarious,Respected,""Skip class? You won t pass."",",0.017586123825584197,73.0
126329,1.0,CAT,4417,2823,0.6391215757301336,0.8630340063761955,0.9167123627346794,3.543613177470776,3.5707930549038003,3.3918712514994005,1.8823529411764706,4.03921568627451,3.4054054054054053,4.088235294117647,0.7777777777777778,3.5999999999999996,0.20398097116869396,"Lots of homework,""Skip class? You won t pass."",Get ready to read,Clear grading criteria,Accessible outside class,Respected,Gives good feedback,Beware of pop quizzes,Caring,Tough grader,Participation matters,So many papers,Inspirational,Amazing lectures,",0.011546298392574145,51.0
126636,1.0,PHYS,3551,1832,0.5159110109828218,0.7535960698689956,0.5505807860262008,6.769066593886462,3.0597346600331674,2.5327761542957337,4.140845070422535,2.647887323943662,2.9696969696969697,2.73943661971831,,,0.019043336619040844,,0.019994367783722895,71.0
126644,1.0,MATH,1347,629,0.4669636228656273,0.878260731319555,0.8846438791732909,6.618410174880761,3.265055643879173,3.173534338358459,4.0,4.25,4.066666666666666,4.083333333333333,0.5,3.0,0.06745483605900272,"Tough grader,Graded by few things,""Skip class? You won t pass."",Accessible outside class,Caring,Lots of homework,Test heavy,Get ready to read,EXTRA CREDIT,Inspirational,Gives good feedback,Clear grading criteria,",0.017817371937639197,24.0
128092,1.0,CHEM,1354,962,0.7104874446085672,0.8337837837837838,0.931535343035343,6.882307692307693,3.2094490644490645,2.6428588098016337,2.717741935483871,3.7419354838709675,3.4862385321100917,3.7298387096774195,,3.675,0.2418274365208169,,0.0915805022156573,124.0
128225,-1.0,COGS,6693,3159,0.47198565665620795,0.8545713833491612,0.8970993985438435,5.582082937638494,3.308660968660968,3.0005546439120447,3.272727272727273,4.218181818181818,3.58974358974359,4.281818181818182,0.8,3.033333333333333,0.21320965902583866,"Test heavy,Amazing lectures,Accessible outside class,Lecture heavy,""Skip class? You won t pass."",EXTRA CREDIT,Tough grader,Respected,Participation matters,Graded by few things,Get ready to read,Hilarious,Caring,Clear grading criteria,Inspirational,",0.008217540714178993,55.0
128775,1.0,PSYC,5105,2148,0.42076395690499513,0.9507807262569832,0.9653677839851024,4.271494413407821,3.474953445065177,2.815921787709497,2.719298245614035,4.087719298245614,4.2,4.271929824561403,,4.0,0.20066058665181472,"""Skip class? You won t pass."",Amazing lectures,Respected,",0.011165523996082272,57.0
133941,,ECON,504,252,0.5,0.64,0.565,4.6,3.07,3.215,3.3846153846153846,2.8461538461538463,3.5,2.8076923076923075,,,0.04417277167277167,,0.025793650793650792,13.0
133976,1.0,ECON,13711,4271,0.3115017139523011,0.8712823694685088,0.843188012175135,4.8654998829314,3.4219573870287983,2.814578029231494,2.7386363636363638,3.25,3.1515151515151514,3.5170454545454546,0.5833333333333334,3.4083333333333337,0.12982436806970085,"So many papers,Tough grader,Caring,Respected,Graded by few things,Lecture heavy,Test heavy,Inspirational,Accessible outside class,Hilarious,Clear grading criteria,Get ready to read,",0.0064182043614616005,88.0
134001,1.0,POLI,6158,2190,0.35563494641117244,0.9052360730593607,0.9306410958904111,5.019232876712329,3.5186894977168945,3.2162597881160755,2.9012345679012346,4.395061728395062,4.018518518518518,4.277777777777778,0.7777777777777778,3.673333333333333,0.20603320180701132,"Tough grader,Get ready to read,Amazing lectures,Test heavy,Accessible outside class,Gives good feedback,Graded by few things,Lecture heavy,Respected,Hilarious,Clear grading criteria,Caring,",0.013153621305618708,81.0
134453,1.0,POLI,18,4,0.2222222222222222,1.0,1.0,8.0,4.0,,2.4210526315789473,3.3684210526315788,4.285714285714286,3.4210526315789473,,3.35,0.15448934837092732,,1.0555555555555556,19.0
134548,1.0,POLI,1212,572,0.47194719471947194,0.8418706293706295,0.8739265734265735,5.95131118881119,3.2865559440559444,3.0463913824057447,3.391891891891892,3.6216216216216215,3.8620689655172415,3.7837837837837838,0.5,3.516666666666667,0.16302276297496884,"Tough grader,Lecture heavy,Graded by few things,""Skip class? You won t pass."",Amazing lectures,Get ready to read,Hilarious,Inspirational,",0.06105610561056106,74.0
138434,1.0,CSE,1388,772,0.5561959654178674,0.7033108808290156,0.7538471502590671,3.211243523316062,3.558056994818652,3.055398936170213,3.789473684210526,2.6315789473684212,3.3333333333333335,2.9473684210526314,,2.3,-0.040191340092655875,,0.013688760806916427,19.0
140154,1.0,CHEM,9716,4739,0.4877521613832853,0.7915458957585989,0.5621175353450094,7.194646549905043,3.048727579658155,2.704039273648648,2.9043062200956937,3.645933014354067,2.9235668789808917,3.3229665071770333,0.4444444444444444,3.279310344827586,0.11506937225580424,"Test heavy,Get ready to read,Clear grading criteria,Lecture heavy,Lots of homework,""Skip class? You won t pass."",Respected,Tough grader,EXTRA CREDIT,Caring,Participation matters,Accessible outside class,Hilarious,Amazing lectures,Graded by few things,Gives good feedback,Beware of pop quizzes,Inspirational,",0.0215109098394401,209.0
